file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,165,css,5e7fffdd,RitvikMohindru,2025-02-01,21:40:20,-08:00,2025-02-01T21:40:20-08:00,0,3
style.css,166,css,5e7fffdd,RitvikMohindru,2025-02-01,21:40:20,-08:00,2025-02-01T21:40:20-08:00,0,13
style.css,167,css,75485d92,RitvikMohindru,2025-02-07,22:51:04,-08:00,2025-02-07T22:51:04-08:00,0,37
style.css,168,css,75485d92,RitvikMohindru,2025-02-07,22:51:04,-08:00,2025-02-07T22:51:04-08:00,0,9
style.css,169,css,5e7fffdd,RitvikMohindru,2025-02-01,21:40:20,-08:00,2025-02-01T21:40:20-08:00,0,0
style.css,170,css,5e7fffdd,RitvikMohindru,2025-02-01,21:40:20,-08:00,2025-02-01T21:40:20-08:00,0,0
style.css,171,css,5e7fffdd,RitvikMohindru,2025-02-01,21:40:20,-08:00,2025-02-01T21:40:20-08:00,0,3
style.css,172,css,75485d92,RitvikMohindru,2025-02-07,22:51:04,-08:00,2025-02-07T22:51:04-08:00,0,11
style.css,173,css,5e7fffdd,RitvikMohindru,2025-02-01,21:40:20,-08:00,2025-02-01T21:40:20-08:00,0,0
style.css,174,css,5e7fffdd,RitvikMohindru,2025-02-01,21:40:20,-08:00,2025-02-01T21:40:20-08:00,0,0
style.css,175,css,5e7fffdd,RitvikMohindru,2025-02-01,21:40:20,-08:00,2025-02-01T21:40:20-08:00,0,3
style.css,176,css,75485d92,RitvikMohindru,2025-02-07,22:51:04,-08:00,2025-02-07T22:51:04-08:00,0,11
style.css,177,css,75485d92,RitvikMohindru,2025-02-07,22:51:04,-08:00,2025-02-07T22:51:04-08:00,0,9
style.css,178,css,5e7fffdd,RitvikMohindru,2025-02-01,21:40:20,-08:00,2025-02-01T21:40:20-08:00,0,0
style.css,179,css,5e7fffdd,RitvikMohindru,2025-02-01,21:40:20,-08:00,2025-02-01T21:40:20-08:00,0,0
style.css,180,css,5e7fffdd,RitvikMohindru,2025-02-01,21:40:20,-08:00,2025-02-01T21:40:20-08:00,0,14
style.css,181,css,5e7fffdd,RitvikMohindru,2025-02-01,21:40:20,-08:00,2025-02-01T21:40:20-08:00,0,10
style.css,182,css,5e7fffdd,RitvikMohindru,2025-02-01,21:40:20,-08:00,2025-02-01T21:40:20-08:00,0,12
style.css,183,css,75485d92,RitvikMohindru,2025-02-07,22:51:04,-08:00,2025-02-07T22:51:04-08:00,0,0
style.css,184,css,75485d92,RitvikMohindru,2025-02-07,22:51:04,-08:00,2025-02-07T22:51:04-08:00,0,0
style.css,185,css,75485d92,RitvikMohindru,2025-02-07,22:51:04,-08:00,2025-02-07T22:51:04-08:00,0,19
style.css,186,css,75485d92,RitvikMohindru,2025-02-07,22:51:04,-08:00,2025-02-07T22:51:04-08:00,0,15
style.css,187,css,75485d92,RitvikMohindru,2025-02-07,22:51:04,-08:00,2025-02-07T22:51:04-08:00,0,17
style.css,188,css,75485d92,RitvikMohindru,2025-02-07,22:51:04,-08:00,2025-02-07T22:51:04-08:00,0,17
style.css,189,css,75485d92,RitvikMohindru,2025-02-07,22:51:04,-08:00,2025-02-07T22:51:04-08:00,0,0
style.css,190,css,75485d92,RitvikMohindru,2025-02-07,22:51:04,-08:00,2025-02-07T22:51:04-08:00,0,0
style.css,191,css,75485d92,RitvikMohindru,2025-02-07,22:51:04,-08:00,2025-02-07T22:51:04-08:00,0,11
style.css,192,css,75485d92,RitvikMohindru,2025-02-07,22:51:04,-08:00,2025-02-07T22:51:04-08:00,0,13
style.css,193,css,75485d92,RitvikMohindru,2025-02-07,22:51:04,-08:00,2025-02-07T22:51:04-08:00,0,19
style.css,194,css,75485d92,RitvikMohindru,2025-02-07,22:51:04,-08:00,2025-02-07T22:51:04-08:00,0,23
style.css,195,css,75485d92,RitvikMohindru,2025-02-07,22:51:04,-08:00,2025-02-07T22:51:04-08:00,0,9
style.css,196,css,75485d92,RitvikMohindru,2025-02-07,22:51:04,-08:00,2025-02-07T22:51:04-08:00,0,0
style.css,197,css,75485d92,RitvikMohindru,2025-02-07,22:51:04,-08:00,2025-02-07T22:51:04-08:00,0,0
style.css,198,css,75485d92,RitvikMohindru,2025-02-07,22:51:04,-08:00,2025-02-07T22:51:04-08:00,0,8
style.css,199,css,75485d92,RitvikMohindru,2025-02-07,22:51:04,-08:00,2025-02-07T22:51:04-08:00,0,13
style.css,200,css,75485d92,RitvikMohindru,2025-02-07,22:51:04,-08:00,2025-02-07T22:51:04-08:00,0,19
style.css,201,css,75485d92,RitvikMohindru,2025-02-07,22:51:04,-08:00,2025-02-07T22:51:04-08:00,0,8
style.css,202,css,75485d92,RitvikMohindru,2025-02-07,22:51:04,-08:00,2025-02-07T22:51:04-08:00,0,58
style.css,203,css,75485d92,RitvikMohindru,2025-02-07,22:51:04,-08:00,2025-02-07T22:51:04-08:00,0,14
style.css,204,css,75485d92,RitvikMohindru,2025-02-07,22:51:04,-08:00,2025-02-07T22:51:04-08:00,0,13
style.css,205,css,75485d92,RitvikMohindru,2025-02-07,22:51:04,-08:00,2025-02-07T22:51:04-08:00,0,7
style.css,206,css,75485d92,RitvikMohindru,2025-02-07,22:51:04,-08:00,2025-02-07T22:51:04-08:00,0,36
style.css,207,css,75485d92,RitvikMohindru,2025-02-07,22:51:04,-08:00,2025-02-07T22:51:04-08:00,0,18
style.css,208,css,75485d92,RitvikMohindru,2025-02-07,22:51:04,-08:00,2025-02-07T22:51:04-08:00,0,0
style.css,209,css,75485d92,RitvikMohindru,2025-02-07,22:51:04,-08:00,2025-02-07T22:51:04-08:00,0,0
